name,ra_deg,dec_deg,mag_v
Taygeta,56.302063,24.46727,4.3
Alkalurops,231.122618,37.377169,4.31
Alterf,142.930115,22.96797,4.32
Botein,47.907356,19.726674,4.35
Yildun,263.054126,86.586462,4.35
Sham,295.024133,18.013891,4.39
Alula Australis,169.545423,31.529161,4.41
Maasym,262.684626,26.110645,4.41
Alkarab,351.344931,23.4041,4.42
Aladfar,288.439531,39.14597,4.43
Keid,63.817999,-7.652872,4.43
Anser,292.176375,24.664903,4.44
Minchir,129.689323,3.341436,4.45
Fumalsamakah,345.969225,3.820045,4.48
Jabbah,242.998894,-19.460708,4.5
Khambalia,214.777468,-13.371096,4.52
Lilii Borea,41.977256,29.247115,4.52
Cujam,246.353979,14.033274,4.57
Dziban,265.484814,72.148847,4.57
Salm,350.159341,23.740336,4.58
Alya,284.054949,4.203602,4.62
Castula,14.166271,59.181055,4.62
Asellus Borealis,130.821442,21.468501,4.66
Alsafi,293.08996,69.661176,4.67
Tegmine,123.05316,17.647821,4.67
Azelfafage,325.523602,51.189623,4.69
Terebellum,298.959838,-26.299534,4.7
Libertas,298.562008,8.461453,4.71
Mesarthim,28.38256,19.293852,4.75
Angetenar,42.759674,-21.004018,4.76
Alshat,305.165898,-12.759079,4.77
Bunda,324.437956,-7.854202,4.8
Zibal,48.958436,-8.819731,4.8
Fafnir,276.496406,65.56348,4.82
Elgafar,217.050575,-2.227957,4.84
Diadem,197.497029,17.529447,4.85
Ainalrami,283.542404,-22.74484,4.86
Adhil,20.58508,45.528778,4.87
Jishui,114.791387,34.584346,4.89
Felis,148.717528,-19.009336,4.94
Elkurud,91.881801,-37.25292,5
Marsic,242.018857,17.04698,5
Chalawan,164.866553,40.430256,5.03
Situla,339.439084,-4.228056,5.04
Pleione,57.296738,24.13671,5.05
Guniibuu,258.837875,-26.598892,5.07
Cervantes,266.036255,-51.834051,5.15
Revati,18.432864,7.575354,5.21
Veritate,352.822556,39.236197,5.22
Taiyi,193.868951,65.438474,5.23
Intercrus,142.166618,45.601482,5.41
La Superba,191.282615,45.440257,5.42
Tianyi,191.893099,66.790305,5.43
Celaeno,56.200893,24.289468,5.45
Polaris Australis,317.195164,-88.956499,5.45
Musica,314.608058,10.839286,5.48
Helvetios,344.366583,20.768831,5.49
Alrakis,256.333807,54.470078,5.55
Nahn,137.339722,22.045446,5.7
Alruba,265.996568,53.801715,5.75
Asterope,56.476987,24.554512,5.76
Merga,222.327791,46.116206,5.76
Tonatiuh,181.312995,76.905735,5.8
Piautos,125.133901,24.022311,5.92
Copernicus,133.149212,28.33082,5.95
Xihe,280.900456,36.556606,6.04
Gumala,288.888459,-24.179354,6.25
Citalá,105.075149,-5.367161,6.29
Meleph,130.112544,19.544809,6.29
Mago,77.403,69.639404,6.43
Chechia,304.025017,4.580795,6.44
Formosa,173.765637,20.441545,6.45
Mira,34.836617,-2.97764,6.47
Kamuy,242.51631,26.742748,6.57
Inquill,259.964168,-48.54932,6.67
Bubup,84.258403,-73.699346,6.69
Baekdu,224.201473,74.900923,6.83
Timir,247.117296,-13.399636,6.89
Tupã,186.442779,-64.022088,6.99
Bélénos,21.302148,28.566695,7.12
Tupi,54.929567,-52.915838,7.12
Dofida,203.106482,-47.271365,7.17
Buna,39.257963,42.06263,7.28
Rapeto,256.128629,-43.30977,7.39
Itonda,329.332698,-37.763624,7.47
Uklun,176.210254,-58.70371,7.47
Belel,290.267627,-23.61957,7.55
Lionrock,336.762801,-17.263656,7.6
Illyrian,143.938267,34.780742,7.62
Nenque,16.167293,-39.488218,7.72
Cocibolca,11.111045,-26.515683,7.78
Phoenicia,303.499356,-0.866881,7.79
Arcalís,223.345951,18.235409,7.8
Ayeyarwady,45.044402,-20.802604,7.81
Poerava,352.834742,-58.209731,7.82
Sika,290.72077,-32.919053,7.84
Aniara,177.843796,57.640734,7.86
Nikawiy,229.77576,41.733206,7.88
Lucilinburhuc,97.190463,38.962962,7.89
Rosaliadecastro,248.212712,2.084828,7.89
Mouhoun,72.574423,-24.368843,7.91
Alasia,275.457428,-11.922682,7.95
Kaveh,283.92035,4.265323,8.02
Stribor,133.461689,33.056812,8.03
Mönch,221.886361,-0.281474,8.04
Hunahpú,169.448138,-23.975415,8.05
Liesma,203.510581,53.728527,8.05
Nosaxa,100.007196,-48.541956,8.05
Emiw,17.696756,-66.188164,8.06
Flegetonte,176.42622,2.821479,8.07
Lusitânia,97.304966,10.933891,8.1
Nervia,102.877151,40.867757,8.1
Tapecue,116.957168,-54.264144,8.1
Ogma,247.623409,38.347311,8.16
Nushagak,42.435361,71.753231,8.17
Násti,124.592386,61.460721,8.2
Dingolay,166.185228,-2.513218,8.21
Axólotl,359.974298,-22.428116,8.23
Gakyid,129.815846,12.960375,8.23
Kalausi,144.299282,-43.272204,8.23
Macondo,161.087146,-33.577024,8.3
Bosona,325.853751,-7.408253,8.34
Citadelle,4.82111,14.054756,8.36
Hoggar,67.856059,4.575295,8.38
Mahsati,253.431594,11.973748,8.38
Sagarmatha,173.964679,-4.755695,8.42
Natasha,147.510404,-49.790266,8.54
Sāmaya,324.535016,-31.737484,8.56
Ebla,347.294696,-2.260746,8.59
Karaka,233.916337,-80.204594,8.71
Hunor,245.151491,41.048086,8.72
Bibhā,149.024661,-3.808423,8.73
Funi,188.029952,74.489547,8.75
Uruk,293.017338,16.474289,8.97
Amadioha,93.39859,-29.897264,8.98
Shama,171.072328,-1.529073,9.1
Ceibo,114.841057,-78.278974,9.37
Irena,243.959855,10.032579,9.41
Barnard's Star,269.454023,4.668288,9.54
Felixvarela,7.142942,-16.226345,9.62
Pincoya,270.778888,-28.560655,9.66
Solaris,318.399959,14.689385,9.78
Franz,260.11616,38.242197,9.86
Intan,50.177891,-33.730104,9.92
Montuno,66.370903,-30.600447,10.06
Naledi,87.139974,-63.988441,10.12
Koeia,41.678695,-23.086612,10.25
Amansinaya,165.399575,-23.860662,10.3
Sansuna,303.195361,18.104833,10.31
Gloas,140.102977,33.882417,10.51
Sterrennacht,354.774209,42.465973,10.54
Koit,110.388168,58.268087,10.62
Mpingo,29.26335,0.758855,10.7
Tislit,126.337846,-11.500986,10.77
Nyamien,208.927967,-32.159615,10.91
Diya,41.040041,-30.169045,10.97
Proxima Centauri,217.428953,-62.679484,11.01
Moldoveanu,240.54936,28.169561,11.28
Sharjah,243.174084,-18.875503,11.34
Taika,335.512865,45.457366,11.35
Dìwö,239.962287,-28.061753,11.49
Dombay,206.094141,48.028668,11.52
Parumleo,3.961699,1.200441,11.54
Tangra,347.492723,18.396078,11.55
Tojil,52.818029,-23.819678,11.71
Mazaalai,171.274941,41.027964,11.72
Chaophraya,43.688059,-10.898063,11.74
Petra,303.167372,-2.14422,11.88
Malmok,217.32673,-3.444501,11.89
Muspelheim,33.13116,51.778767,11.89
Chasoň,274.40547,36.621436,11.96
Berehynia,66.248062,39.460642,12.02
Absolutno,116.716506,39.094572,12.13
Lerna,135.344371,6.097227,12.15
Márohu,348.157237,-22.673966,12.16
Morava,356.666561,31.155937,12.18
Anadolu,348.494823,8.76127,12.2
Tuiren,188.266276,44.915333,12.25
Tevel,110.168568,37.140651,12.26
Moriah,306.123848,16.76217,12.32
Pipoltr,268.029244,37.546177,12.37
Horna,35.383251,32.246136,12.53
Atakoraka,101.115022,-32.858383,12.69
